Instance   BKS  BS   Gap   ExecutionTime 
A-n32-k5   784  800  2.04  6.16
A-n33-k5   661  661  0     4.68
A-n33-k6   742  742  0     0.86
A-n34-k5   778  785  0.9   5.46
A-n36-k5   799  807  1     6.12
A-n37-k5   669  670  0.15  6.16
A-n37-k6   949  952  0.32  6.86
A-n38-k5   730  730  0     5.55
A-n39-k5   822  822  0     6.53
A-n39-k6   831  835  0.48  6.96
A-n44-k6   937  939  0.21  7.99
A-n45-k6   944  955  1.17  8.72
A-n45-k7   1146 1160 1.22  8.58
A-n46-k7   914  914  0     9.76
A-n48-k7   1073 1102 2.70  9.65
A-n53-k7   1010 1018 0.79  10.7
A-n54-k7   1167 1174 0.6   13
A-n55-k9   1073 1073 0     11.9
A-n60-k9   1354 1371 1.26  13.6
A-n61-k9   1034 1049 1.45  13.9
A-n62-k8   1288 1318 2.33  16.1
A-n63-k9   1616 1645 1.79  15.3
A-n63-k10  1314 1323 0.68  15
A-n64-k9   1401 1429 2     14.8
A-n65-k9   1174 1179 0.43  15.5
A-n69-k9   1159 1175 1.38  17.0
A-n80-k10  1763 1793 1.70  21.6
B-n31-k5   672  672  0     5.03
B-n34-k5   788  789  0.13  5.43
B-n35-k5   955  970  1.57  5.70
B-n38-k6   805  806  0.12  6.02
B-n39-k5   549  549  0     4.72
B-n41-k6   829  830  0.12  6.98
B-n43-k6   742  742  0     7.69
B-n44-k7   909  909  0     7.77
B-n45-k5   751  754  0.4   8.12
B-n45-k6   678  702  3.54  8.93
B-n50-k7   741  743  0.27  9.79
B-n50-k8   1312 1329 1.30  10.1
B-n51-k7   1032 1024 -0.78 8.51
B-n52-k7   747  748  0.13  13.3
B-n56-k7   707  711  0.570 10.7
B-n57-k7   1153 1157 0.350 11.9
B-n57-k9   1598 1622 1.50  11.8
B-n63-k10  1496 1562 4.41  13.2
B-n64-k9   861  893  3.72  13.2
B-n66-k9   1316 1329 0.99  15.2
B-n67-k10  1032 1061 2.81  14.9
B-n68-k9   1272 1291 1.49  15.0
B-n78-k10  1221 1261 3.28  18.5
P-n16-k8   450  450  0     0.01
P-n19-k2   212  212  0     0.2
P-n20-k2   216  216  0     0.25
P-n21-k2   211  211  0     0.12
P-n22-k2   216  216  0     0.04
P-n22-k8   603  590  -2.16 2.90
P-n23-k8   529  529  0     0.21
P-n40-k5   458  458  0     6.50
P-n45-k5   510  510  0     7.49
P-n50-k7   554  559  0.9   9.63
P-n50-k8   631  636  0.79  8.93
P-n50-k10  696  706  1.44  9.44
P-n51-k10  741  751  1.35  9.67
P-n55-k7   568  576  1.41  10.9
P-n55-k10  694  702  1.15  11.3
P-n55-k15  989  950  -3.94 10.1
P-n60-k10  744  760  2.15  13.0
P-n60-k15  968  988  2.07  12.8
P-n65-k10  792  806  1.77  14.3
P-n70-k10  827  837  1.21  15.5
P-n76-k4   593  599  1.01  17.2
P-n76-k5   627  628  0.16  18.0
P-n101-k4  681  688  1.03  29.1
E-n13-k4   247  247  0     0.02
E-n22-k4   375  375  0     0.090
E-n23-k3   569  570  0.18  3.40
E-n30-k3   534  503  -5.81 4.07
E-n31-k7   379  383  1.06  5.32
E-n33-k4   835  843  0.96  4.73
E-n51-k5   521  521  0     9.41
E-n76-k7   682  696  2.05  21.7
E-n76-k8   735  751  2.18  17.2
E-n76-k10  830  852  2.65  18.0
E-n76-k14  1021 1047 2.55  17.2
E-n101-k8  815  839  2.94  27.8
E-n101-k14 1067 1118 4.78  27.9
F-n45-k4   724  724  0     3.78
F-n72-k4   237  238  0.42  15.0
F-n135-k7  1162 1189 2.32  46.5
