Optimizer,Instance,BKS,BS,Gap,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
HHOCVRP,A-n32-k5,784,806.4,2.8571,0.38,1480.75,1330.7,1184.5,1114.1,1114.1,1063.2,1058.9,1058.9,987.8,982.25,974.25,974.2,964.9,963.6,957.55,949.95,948.85,944.45,940.95,913.5,877.7,877.7,875.7,868.8,861.5,860.1,856.9,856.9,856.9,852.25,851.45,851.35,848.05,846.9,846.9,846.9,846.9,846.75,844.25,842.5,840.3,840.3,838.1,838.1,838.1,837.3,837.3,837.3,834.6,834.6,834.6,834.6,833.85,833.85,833.75,833.55,833.55,833.35,833.35,833.15,831.9,831.65,831.65,831.45,831.2,831.2,831.2,831.2,829.35,829.25,829.25,829.25,829.25,829.25,829.05,828.8,828.8,828.8,828.8,828.8,828.55,828.55,828.3,828.3,828.3,828.3,828.3,828.1,827.85,827.85,827.85,827.85,827.65,827.65,827.65,827.65,827.4,827.3,827.1,827.1,827.1,826.85,826.85,826.6,826.6,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.2,826.2,826.2,826.2,826.2,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,826.15,825.9,825.65,825.55,825.55,825.55,825.55,825.3,825.05,825.05,825.05,824.85,824.85,824.85,824.85,824.85,824.85,824.85,824.85,824.85,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.4,824.4,824.4,824.4,824.25,824.25,824.25,824.25,824.25,824.25,824.05,824.05,824.05,824.05,824.05,824.05,824.05,824.05,824.05,824.05,824.05,823.65,823.65,823.65,823.65,823.25,823.25,823.25,823.2,806.4
HHOCVRP,A-n33-k5,661,683.75,3.4418,0.4,1433.2,1254.7,1131.5,1006.3,971.45,908.9,904.95,859.4,793.3,759.8,759.55,757.3,754.4,752.05,752.05,750.95,748.0,747.6,746.75,744.8,743.9,743.55,743.55,743.55,742.9,741.15,739.4,737.65,737.65,737.65,737.1,736.8,734.05,733.5,733.1,733.1,733.1,731.9,731.9,731.9,730.4,728.95,728.85,727.2,727.2,727.2,726.65,726.65,725.65,725.35,725.35,725.35,724.2,724.15,723.3,723.3,723.3,723.1,723.1,722.75,722.3,721.7,721.7,721.7,721.55,721.55,721.55,720.75,720.6,719.45,719.4,719.4,719.4,719.4,717.05,716.95,716.95,715.95,715.95,713.5,712.45,712.45,712.45,712.45,712.45,712.45,711.75,710.85,710.85,710.5,710.05,710.05,710.05,709.95,709.55,709.55,709.5,709.5,709.5,708.9,708.9,708.75,706.5,706.5,706.3,706.25,704.55,704.1,703.7,702.55,702.55,702.2,702.2,702.2,701.2,701.0,701.0,701.0,700.45,700.45,700.45,700.4,700.0,699.85,699.85,699.85,698.75,698.75,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,698.15,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.5,697.5,697.45,697.25,697.1,697.1,696.65,695.65,695.25,695.25,695.25,695.2,695.2,694.9,694.9,694.9,694.9,694.9,694.4,694.4,694.4,694.4,694.4,694.4,694.4,694.2,694.2,694.1,693.9,693.9,693.9,693.15,693.1,692.9,692.9,692.9,692.6,692.6,692.6,692.6,692.6,692.5,692.5,692.35,692.35,692.35,692.35,683.75
HHOCVRP,A-n33-k6,742,758.15,2.1765,0.41,1428.2,1268.85,1192.0,1113.65,1081.45,1050.2,984.4,957.0,952.5,949.8,915.0,914.15,912.05,877.3,873.4,843.1,817.9,816.1,816.1,816.0,814.3,814.2,813.1,810.8,810.65,809.4,808.4,806.45,804.6,804.5,803.0,803.0,802.6,799.75,798.5,796.65,795.15,795.15,795.15,795.15,795.15,793.65,793.65,793.65,793.65,793.65,790.95,790.7,790.7,790.7,790.7,788.45,788.0,785.85,785.25,785.25,784.75,784.75,784.75,784.75,784.6,783.65,783.55,783.0,782.95,782.2,781.55,781.55,779.1,779.1,779.1,779.1,779.05,779.05,778.05,778.0,777.95,777.95,777.6,777.45,777.4,777.4,777.4,777.4,776.15,776.15,776.05,776.05,774.75,774.45,774.45,774.45,774.45,774.25,774.25,774.25,773.6,773.3,772.5,771.65,771.65,771.0,771.0,771.0,770.45,770.45,770.45,770.45,770.45,770.45,770.45,769.45,768.45,768.45,768.45,766.75,766.75,766.6,766.6,766.6,766.55,766.55,766.55,766.2,766.2,765.85,764.9,764.85,764.85,764.85,764.85,764.85,764.85,764.8,764.8,764.5,764.25,764.25,764.25,764.15,764.15,764.15,764.15,764.15,764.15,764.15,764.15,764.0,764.0,764.0,764.0,763.8,763.55,763.5,763.5,763.5,763.5,763.5,763.5,763.5,763.45,763.45,763.4,763.4,763.4,763.4,763.4,763.4,763.4,763.4,763.4,763.4,763.35,763.3,763.0,763.0,762.85,762.85,762.8,762.8,762.7,762.7,762.65,762.65,762.65,762.65,762.55,762.55,762.55,762.55,762.35,762.35,762.35,762.35,762.35,762.35,762.35,762.35,762.35,758.15
HHOCVRP,A-n34-k5,778,801.0,2.9563,0.37,1430.65,1300.4,1170.7,1126.1,1116.1,1003.65,952.0,919.05,891.5,891.5,888.3,886.0,884.7,883.95,883.1,883.05,880.0,876.55,876.55,875.1,875.1,874.65,873.8,873.0,873.0,870.5,869.35,868.45,868.0,865.9,865.9,865.8,865.7,865.7,864.85,863.6,862.9,862.15,861.9,861.1,860.45,858.3,858.3,858.3,857.4,857.4,857.4,855.8,854.9,854.55,854.55,853.7,853.35,852.05,851.3,849.35,849.35,847.85,847.85,847.85,847.85,847.0,846.3,846.0,846.0,843.95,843.95,843.05,839.05,839.05,839.0,838.3,837.2,837.2,834.4,833.75,833.75,833.75,833.75,831.7,831.7,831.65,831.65,830.45,830.45,830.0,830.0,830.0,829.7,829.7,829.2,826.8,826.35,826.1,826.1,826.1,825.45,825.25,825.25,825.25,824.55,822.95,822.6,821.8,821.15,821.15,821.15,821.15,821.15,820.3,820.3,820.3,820.3,820.3,820.15,820.15,820.15,819.9,819.85,819.1,819.1,819.1,819.05,818.1,818.1,818.1,818.05,818.05,818.05,818.05,818.05,818.0,817.9,817.85,817.35,817.35,817.35,817.35,817.3,817.3,817.3,817.2,817.2,817.2,817.2,817.2,817.2,817.2,817.2,817.2,817.2,817.2,817.15,816.5,816.5,815.75,815.6,815.6,815.6,815.55,815.55,815.2,815.2,815.2,815.2,815.2,815.2,815.2,815.2,814.55,814.55,814.55,814.5,814.5,814.5,814.45,813.25,813.25,813.25,813.25,813.25,813.25,813.25,813.25,813.15,813.15,813.15,813.05,813.05,813.05,813.05,813.05,812.4,812.2,812.2,812.2,812.15,812.0,812.0,801.0
HHOCVRP,A-n36-k5,799,827.15,3.5232,0.41,1583.7,1434.5,1362.95,1264.05,1172.35,1129.75,1093.55,1009.4,968.9,968.1,964.9,956.4,952.75,949.85,948.35,948.15,946.4,942.65,911.15,911.15,881.2,881.2,878.6,876.05,876.05,876.05,876.05,876.05,875.65,875.05,873.9,872.4,872.4,872.1,872.05,872.05,872.05,868.7,868.7,868.55,868.55,867.95,866.8,866.4,866.4,866.4,865.65,865.45,865.25,865.25,865.25,865.25,864.95,864.85,864.85,864.25,864.25,864.25,864.25,864.25,864.25,863.35,863.35,863.35,862.5,862.05,862.05,861.8,861.8,861.7,861.7,861.35,861.35,861.35,859.75,859.75,859.5,859.4,858.95,857.95,857.95,857.95,857.7,857.7,857.7,857.7,857.7,857.7,856.0,855.75,855.75,855.1,854.2,853.35,852.0,852.0,851.55,850.95,850.95,850.4,850.35,850.35,850.2,850.0,849.9,849.9,848.5,848.5,848.25,848.25,848.25,848.25,848.2,848.2,848.2,848.2,848.2,848.2,848.2,847.05,847.05,847.05,846.9,846.9,846.9,846.9,846.9,846.8,846.8,846.8,846.45,846.25,846.25,846.25,846.25,845.65,845.65,845.65,845.65,845.6,845.6,845.6,845.0,844.1,844.1,843.8,843.4,843.4,843.05,843.05,842.9,842.9,842.8,842.8,842.8,842.5,842.2,842.2,842.15,842.15,842.05,842.05,842.05,842.05,841.5,841.2,841.2,841.2,841.2,840.2,840.05,840.05,840.05,839.75,839.75,839.75,839.75,839.75,839.35,839.2,839.2,839.05,838.5,838.15,838.15,838.15,837.7,837.7,837.45,837.3,837.1,837.1,836.95,836.15,836.15,836.15,836.0,835.65,835.65,827.15
HHOCVRP,A-n37-k5,669,696.85,4.1629,0.42,1577.15,1142.75,1091.65,960.1,786.55,778.1,775.5,775.25,773.0,769.3,768.25,766.15,764.45,761.15,761.15,757.05,755.05,754.95,754.95,754.55,752.4,752.1,751.3,750.9,750.0,750.0,747.4,745.6,745.6,745.6,745.35,743.05,742.85,740.9,740.9,740.9,740.6,739.75,739.75,739.7,739.7,739.2,739.2,739.2,734.15,734.15,733.95,733.95,733.95,733.95,733.95,733.1,733.1,733.1,733.1,732.75,732.75,732.75,732.75,732.75,731.5,730.0,729.45,729.45,729.45,729.45,728.65,728.45,727.8,727.4,727.4,727.4,727.4,727.4,727.1,726.85,726.55,726.1,726.1,725.75,725.75,725.25,725.15,724.15,724.15,723.95,723.95,723.95,722.65,722.65,722.65,721.75,721.35,721.35,721.35,721.35,721.35,720.3,718.85,718.85,718.85,718.75,718.75,718.75,718.5,718.5,718.3,718.3,718.3,718.3,718.3,718.3,718.15,717.9,717.65,716.7,715.55,714.85,714.85,714.4,713.85,713.85,713.85,713.85,713.85,713.85,713.85,713.4,713.4,713.3,713.15,713.15,713.15,713.15,713.15,713.15,713.15,713.1,713.05,712.55,712.55,712.55,712.55,712.55,712.55,712.55,712.45,712.45,712.3,712.3,712.3,712.3,712.3,712.3,712.15,712.15,712.15,712.15,712.15,712.15,712.15,712.15,712.15,712.15,712.15,712.15,711.85,711.85,711.85,711.85,711.85,710.9,710.9,710.9,710.9,710.65,709.85,709.65,709.65,709.65,709.05,708.85,708.85,708.6,708.6,708.6,708.55,708.1,708.1,708.1,708.1,708.1,708.1,707.95,707.85,707.85,707.85,707.85,707.85,696.85
HHOCVRP,A-n37-k6,949,982.2,3.4984,0.43,1737.15,1631.3,1500.5,1384.75,1381.65,1337.85,1221.8,1172.4,1171.1,1169.95,1167.1,1130.5,1124.2,1119.85,1118.0,1115.5,1114.7,1083.2,1081.7,1081.7,1081.5,1079.45,1078.2,1078.2,1077.05,1077.05,1077.05,1077.05,1076.85,1076.2,1076.2,1075.0,1075.0,1075.0,1074.35,1071.75,1069.6,1069.6,1068.55,1067.7,1062.75,1061.7,1057.65,1055.5,1055.5,1054.35,1054.35,1054.35,1053.3,1048.2,1047.25,1047.25,1045.2,1045.2,1044.15,1043.5,1043.5,1043.5,1043.5,1043.5,1042.25,1040.55,1039.5,1037.9,1037.9,1037.9,1036.6,1035.85,1035.85,1034.45,1034.2,1033.85,1032.6,1032.6,1032.4,1028.85,1028.75,1028.75,1027.85,1027.85,1027.65,1027.6,1027.6,1026.4,1026.4,1026.3,1024.0,1024.0,1024.0,1024.0,1022.3,1022.15,1022.05,1021.6,1021.6,1020.85,1020.25,1018.15,1017.0,1017.0,1014.35,1014.35,1014.15,1014.15,1014.15,1011.35,1011.35,1010.35,1009.0,1008.85,1008.85,1008.85,1008.85,1007.9,1007.9,1007.9,1006.7,1006.5,1006.5,1006.5,1006.5,1006.5,1006.5,1006.5,1005.05,1005.05,1004.05,1004.05,1004.05,1003.1,1003.1,1003.1,1003.05,1003.05,1002.85,1002.8,1002.8,1002.8,1002.4,1002.05,1002.05,1002.05,1002.05,1001.9,1001.9,1001.55,1001.55,1001.5,1000.5,999.55,999.4,999.4,999.4,999.4,999.4,999.4,999.4,999.4,998.9,998.9,998.9,998.9,998.9,998.9,998.9,998.85,998.85,997.6,997.6,997.6,996.45,996.3,996.3,995.8,995.8,994.55,994.4,994.4,994.3,994.3,992.3,992.3,992.3,992.3,992.25,992.25,991.75,991.75,991.75,991.3,990.7,990.5,990.5,990.5,990.5,990.5,990.4,990.4,990.4,982.2
HHOCVRP,A-n38-k5,730,745.1,2.0685,0.42,1732.1,1511.5,1355.25,1119.35,1071.15,1055.6,1010.45,943.0,940.7,897.8,896.05,896.05,892.8,887.15,845.35,845.35,845.35,844.9,840.4,840.4,840.3,801.05,801.05,800.3,799.4,797.55,797.2,793.9,793.9,793.9,792.5,792.5,790.85,790.85,790.4,790.05,788.95,787.7,786.95,786.95,786.95,786.65,786.65,784.8,784.35,784.25,783.65,783.65,783.65,783.65,783.15,783.15,782.5,781.85,781.85,780.0,779.65,779.65,778.9,778.9,778.85,778.6,777.65,777.3,776.55,775.15,775.15,775.0,774.15,774.15,774.15,774.15,773.85,773.85,772.5,772.5,772.5,772.5,772.5,771.8,770.65,770.55,770.5,770.35,770.35,770.35,770.35,770.35,769.8,769.6,768.9,768.9,768.9,768.9,768.85,768.75,768.75,768.6,767.55,767.55,767.55,767.55,767.25,767.25,765.45,764.9,764.9,764.9,764.9,764.9,764.9,764.9,764.5,764.5,764.3,764.25,764.15,764.15,764.0,764.0,764.0,763.95,763.95,763.95,763.25,763.25,763.25,762.8,762.8,762.8,762.75,762.75,762.75,762.75,762.75,762.75,762.75,762.75,762.65,762.65,762.65,762.65,762.65,762.65,762.6,762.2,761.9,760.7,760.7,760.7,760.7,760.65,760.65,760.65,760.65,760.1,760.1,760.1,760.1,760.1,760.1,760.05,759.95,759.95,759.45,759.45,759.05,759.05,759.05,759.05,758.35,758.2,758.15,757.45,757.45,757.45,757.4,757.4,757.0,756.75,756.7,756.7,756.7,756.7,756.7,756.55,756.55,756.55,756.55,756.1,756.1,755.9,755.85,755.45,755.25,755.2,755.1,754.95,754.95,745.1
HHOCVRP,A-n39-k5,822,853.1,3.7835,0.43,1733.25,1520.0,1405.25,1219.85,1117.55,1075.6,1039.35,1036.75,1030.5,1026.2,988.55,944.65,943.8,943.35,942.5,942.0,942.0,941.45,940.95,940.95,940.95,940.75,939.05,938.05,935.75,935.75,935.75,935.75,931.05,930.8,930.8,930.8,926.45,925.75,925.7,925.7,923.35,922.35,920.95,920.55,919.85,919.15,918.7,915.55,915.2,915.2,912.45,912.45,912.35,911.9,911.4,911.4,911.4,911.4,911.4,911.4,909.95,907.2,906.95,906.95,906.9,906.8,906.8,906.0,906.0,905.8,905.2,903.3,903.3,903.3,903.3,902.95,902.7,901.05,899.65,899.65,899.1,898.2,898.2,896.0,896.0,895.6,895.6,895.6,895.6,895.6,895.6,895.6,895.6,895.6,894.9,893.5,893.5,892.65,891.85,890.9,890.9,890.2,889.05,889.05,889.05,889.05,889.05,889.05,888.4,888.4,887.85,887.85,887.85,886.7,886.45,886.45,886.35,886.2,886.2,886.2,885.5,885.35,885.25,885.25,885.25,885.25,885.25,885.25,884.1,884.1,884.1,884.1,883.75,883.75,883.75,883.75,883.75,883.75,883.75,883.75,883.75,883.65,883.65,883.1,883.1,883.05,883.05,883.05,883.05,882.65,882.65,882.65,882.65,882.3,882.3,882.0,882.0,882.0,882.0,881.95,881.95,881.95,881.6,881.6,881.15,881.15,880.6,880.6,880.6,880.1,880.1,880.1,880.1,879.2,878.85,878.85,878.85,878.85,878.85,878.85,878.85,878.85,878.85,877.95,877.95,876.85,876.85,876.2,876.2,876.2,876.2,876.2,876.05,875.8,875.8,875.15,874.35,874.3,874.25,873.85,873.45,873.45,873.45,853.1
HHOCVRP,A-n39-k6,831,861.1,3.6221,0.44,1865.75,1369.7,1318.45,1147.15,1142.05,1095.5,1089.6,1041.75,1038.3,988.5,949.3,942.2,941.95,933.05,925.55,925.5,925.5,925.5,925.5,925.5,922.85,922.5,919.8,919.8,919.8,915.85,915.85,913.7,913.7,912.5,908.3,908.3,908.3,908.3,908.3,908.3,907.55,907.55,907.3,906.2,904.45,903.25,903.1,903.1,903.1,902.55,902.55,902.55,902.2,902.2,900.85,900.3,900.3,899.7,899.7,899.55,898.45,898.45,898.45,897.75,896.65,895.7,895.3,895.2,895.2,894.9,894.2,894.2,894.2,894.2,893.25,893.25,890.1,890.05,888.55,888.55,888.4,888.4,888.4,888.25,888.25,888.25,888.25,888.25,888.25,888.25,888.25,888.25,887.55,887.3,885.75,885.75,885.75,884.75,882.7,882.7,882.3,882.3,882.3,880.95,880.95,880.5,880.35,880.35,880.1,879.9,879.1,879.0,879.0,878.85,878.85,878.85,878.85,878.85,878.85,878.65,878.65,878.65,878.65,878.65,878.65,878.65,877.1,877.1,877.1,877.1,877.1,876.25,876.0,875.7,875.7,875.7,875.45,875.45,875.45,875.45,875.4,875.35,875.35,875.35,875.35,875.35,875.3,875.3,875.3,875.3,875.3,874.6,874.4,874.4,874.4,874.4,874.4,874.4,874.4,874.15,874.15,874.15,874.15,874.15,874.1,874.1,874.1,874.1,874.1,873.8,873.75,873.75,873.75,873.75,873.75,873.75,873.65,873.05,873.05,872.15,872.15,872.15,872.15,872.15,872.15,872.15,872.15,871.2,871.05,871.05,871.05,870.5,870.5,870.5,870.5,870.5,870.2,870.2,870.2,870.2,869.8,869.8,869.3,861.1
