Optimizer,Instance,BKS,BS,Gap,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
HHOCVRP,A-n32-k5,784,806.4,2.8571,0.2,1507.1,1292.5,1100.2,979.05,926.55,923.55,923.05,919.75,877.75,877.75,877.65,874.85,874.85,874.8,874.8,871.05,871.05,865.2,861.3,860.5,855.8,855.0,854.9,854.9,854.9,854.9,852.1,850.5,849.4,848.0,843.4,843.4,842.8,842.8,841.85,841.85,838.95,838.95,838.65,838.65,837.1,837.1,837.1,837.1,837.0,834.9,834.7,834.45,831.55,831.55,830.45,830.15,829.9,829.7,829.2,829.2,829.2,829.2,829.2,828.9,828.9,828.9,828.7,828.4,828.2,827.95,827.95,827.95,827.85,827.85,827.6,827.6,827.6,827.6,827.4,827.4,827.1,826.6,826.6,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.5,826.25,826.0,826.0,826.0,826.0,825.6,825.6,825.6,825.4,825.0,824.75,824.5,806.4
HHOCVRP,A-n33-k5,661,685.6,3.7216,0.19,1507.95,1376.8,1168.0,986.05,899.35,862.2,821.05,787.25,782.7,754.5,753.7,750.8,749.8,749.8,746.05,742.4,735.6,735.2,733.9,733.9,733.4,733.4,732.65,731.45,731.45,731.45,731.4,728.0,725.95,725.8,725.15,725.15,725.15,725.15,725.15,724.85,724.15,724.15,722.65,722.45,722.2,722.2,722.2,721.65,721.65,718.8,715.85,715.75,714.8,714.8,714.8,714.35,713.75,712.7,710.45,709.75,709.4,709.4,708.1,708.1,708.1,707.8,706.85,706.55,705.8,705.4,704.25,704.25,704.25,704.25,704.25,704.25,704.25,704.0,702.8,702.8,702.5,701.45,701.45,701.45,701.45,701.15,700.1,699.9,699.9,699.3,699.3,699.3,699.05,699.05,699.05,699.05,698.65,698.65,698.65,698.3,698.3,698.3,698.25,685.6
HHOCVRP,A-n33-k6,742,762.8,2.8032,0.17,1364.25,1220.15,1064.0,1014.75,857.5,853.35,848.8,847.95,846.65,815.35,809.1,805.95,805.65,804.55,803.2,803.2,803.2,800.15,799.95,799.95,798.95,796.2,796.1,796.05,791.95,791.6,791.0,791.0,790.9,790.45,789.45,787.95,787.75,787.7,786.75,786.75,786.15,785.95,783.95,782.0,782.0,781.55,781.55,781.55,780.85,780.55,780.55,780.35,779.35,779.35,779.35,778.45,778.45,777.9,777.25,777.25,776.2,776.2,775.95,775.7,775.7,774.85,774.35,774.35,774.35,772.9,772.8,772.7,772.7,772.7,772.7,772.7,772.7,772.7,772.7,772.7,772.4,772.4,772.4,772.4,772.4,772.4,772.05,771.9,771.9,771.9,771.9,771.85,771.8,771.8,771.8,771.8,771.75,771.25,771.25,771.25,770.9,770.85,770.65,762.8
HHOCVRP,A-n34-k5,778,808.9,3.9717,0.19,1498.85,1477.35,1345.15,1232.65,1114.9,971.5,935.95,930.9,930.7,924.75,914.55,910.05,878.0,878.0,873.6,873.6,873.35,873.1,872.6,871.25,871.25,869.55,868.15,868.15,867.8,865.15,863.0,862.95,860.75,856.45,856.45,855.25,855.0,853.8,850.6,848.0,848.0,846.55,845.85,845.85,845.25,844.9,844.9,842.8,842.8,841.8,841.3,839.15,838.75,838.35,836.9,836.85,835.4,835.05,834.65,834.05,834.05,832.55,831.8,831.25,831.25,831.25,831.05,827.95,827.95,826.0,826.0,825.2,825.0,825.0,824.95,824.95,824.95,824.85,824.85,824.2,824.1,824.0,824.0,824.0,824.0,822.45,822.45,822.45,822.45,822.45,821.75,821.7,821.7,821.7,821.7,821.05,821.05,820.85,820.85,820.45,820.45,820.45,820.45,808.9
HHOCVRP,A-n36-k5,799,830.1,3.8924,0.22,1604.25,1406.0,1261.35,1118.45,1079.05,1038.15,956.5,911.45,908.2,906.5,902.3,901.75,896.05,893.6,893.6,888.25,886.15,886.15,886.05,885.1,883.95,883.5,883.5,883.5,878.95,877.45,877.15,876.45,875.8,873.1,873.1,872.3,869.1,869.1,868.6,866.3,866.3,865.9,865.75,865.35,864.85,864.85,864.3,861.95,861.95,861.95,861.3,861.2,861.2,860.9,860.9,859.75,858.05,858.0,857.3,857.25,857.25,856.55,856.55,856.55,856.45,855.7,855.7,855.7,855.65,855.65,855.6,855.6,854.55,854.4,854.4,854.05,853.9,853.6,853.6,853.6,853.45,853.45,853.15,853.15,853.15,852.25,852.25,851.55,851.45,851.3,851.3,850.7,850.7,850.25,850.25,850.25,850.25,850.05,849.8,849.7,848.95,848.55,848.55,830.1
HHOCVRP,A-n37-k5,669,701.3,4.8281,0.21,1446.95,1427.7,1244.15,1161.85,1082.1,1038.75,992.4,904.9,859.15,856.1,847.25,843.9,806.5,803.1,764.9,762.05,760.75,760.75,758.45,758.45,753.5,751.65,751.65,751.45,749.7,748.55,748.55,748.1,746.15,744.1,740.15,739.1,738.75,737.85,737.45,737.25,736.15,735.5,735.05,735.05,733.55,733.55,733.45,733.45,733.25,732.75,731.7,731.65,729.85,729.45,727.6,725.55,725.4,725.25,724.9,724.9,724.15,724.15,724.15,724.05,724.05,723.5,723.5,723.05,722.95,721.95,721.9,721.5,721.5,721.05,721.05,721.05,721.05,721.05,721.05,720.65,720.65,720.65,720.65,720.65,720.65,720.45,720.45,720.45,720.45,719.85,719.75,719.4,719.25,719.25,718.55,718.55,718.55,717.95,717.95,717.95,717.45,717.45,717.45,701.3
HHOCVRP,A-n37-k6,949,1000.55,5.432,0.21,1810.9,1635.2,1420.7,1339.15,1286.05,1239.4,1198.1,1168.85,1129.45,1125.95,1089.45,1086.85,1077.55,1077.55,1076.5,1074.3,1073.95,1071.2,1069.25,1066.35,1063.85,1063.85,1063.85,1063.85,1063.85,1063.85,1063.25,1063.0,1062.0,1059.25,1059.0,1058.2,1058.05,1057.95,1057.95,1056.25,1056.25,1054.65,1053.65,1051.4,1051.1,1051.1,1048.75,1048.75,1048.4,1046.95,1046.7,1043.7,1043.7,1043.1,1042.6,1042.0,1040.25,1039.2,1037.4,1037.35,1037.35,1035.25,1035.25,1033.35,1031.5,1029.5,1029.5,1028.7,1028.7,1027.85,1027.6,1027.55,1025.45,1023.75,1023.75,1023.75,1023.3,1023.1,1022.95,1022.95,1022.95,1022.3,1022.25,1020.45,1019.8,1019.25,1017.9,1017.9,1017.6,1017.6,1016.55,1015.35,1015.15,1015.05,1014.75,1014.3,1014.3,1014.3,1013.8,1013.4,1013.0,1011.7,1010.7,1000.55
HHOCVRP,A-n38-k5,730,749.8,2.7123,0.22,1533.4,1341.4,1248.6,1148.65,1135.8,1001.15,956.05,865.95,860.6,859.5,859.5,855.6,812.6,806.05,804.9,799.6,799.6,799.4,799.25,793.65,793.15,793.15,791.4,791.4,791.4,790.85,789.75,789.75,789.75,788.1,787.45,787.3,787.3,787.3,785.75,784.4,784.15,783.8,783.8,782.9,782.9,782.9,782.9,780.65,780.6,780.6,779.9,779.9,779.9,779.75,778.1,776.85,776.85,776.85,776.85,776.2,776.05,775.25,774.4,774.35,774.35,774.35,773.75,773.75,773.7,773.6,773.6,773.6,773.6,772.85,772.85,771.85,771.85,771.2,771.2,771.2,771.2,771.15,770.15,770.15,770.15,769.75,769.75,768.8,768.8,768.8,768.75,768.75,768.75,768.75,768.65,767.65,767.65,767.15,767.0,766.8,766.8,766.8,765.8,749.8
HHOCVRP,A-n39-k5,822,855.1,4.0268,0.23,1615.5,1286.85,1269.75,1184.5,1137.5,1133.8,1092.7,1043.1,957.05,949.1,947.1,946.85,946.85,945.85,945.85,945.85,945.6,940.6,940.1,939.2,936.75,935.45,929.4,927.35,925.5,925.0,923.55,923.55,922.15,920.0,919.6,919.6,919.6,919.6,916.65,916.4,915.25,915.25,913.55,912.35,910.65,910.65,910.65,908.2,908.15,908.0,907.5,905.7,904.5,903.95,901.95,900.15,900.15,899.35,899.35,899.1,897.75,897.75,896.85,896.6,896.6,896.0,895.7,895.7,895.65,895.35,894.65,893.95,893.95,893.95,893.95,893.45,892.45,891.6,890.9,890.0,889.45,888.85,888.85,888.3,888.05,888.05,888.05,888.05,888.05,888.05,887.65,887.65,887.65,887.05,886.4,885.9,885.9,885.9,884.4,883.95,882.45,882.35,881.55,855.1
HHOCVRP,A-n39-k6,831,863.85,3.9531,0.23,1965.2,1722.35,1549.15,1297.2,1177.05,1171.05,1120.1,1117.75,1117.45,1111.85,1059.8,1056.45,1052.25,1049.85,1048.2,970.55,970.55,926.65,926.65,926.65,924.05,921.3,918.55,914.4,914.4,911.6,911.6,911.0,911.0,910.35,909.6,908.2,908.2,906.85,906.3,905.2,902.3,902.3,901.55,901.4,900.05,898.6,898.5,896.9,896.85,896.85,895.45,895.45,894.6,893.6,893.6,889.9,889.9,889.7,889.7,888.7,888.7,888.5,888.2,888.2,887.25,887.1,886.7,886.2,886.2,885.7,885.7,885.7,885.7,885.15,884.95,884.4,883.45,882.9,882.9,882.9,882.9,882.5,882.5,882.5,881.6,881.6,881.6,881.3,880.25,880.15,879.3,879.3,879.05,878.95,878.3,878.15,878.15,878.15,878.1,876.85,876.85,876.85,876.45,863.85
