Optimizer,Instance,BKS,BS,Gap,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
HHOCVRP,A-n32-k5,784,805.15,2.6977,0.77,1487.35,1312.7,1217.15,1159.8,1080.65,1027.9,976.05,965.7,889.25,887.95,874.4,874.4,870.6,866.3,862.45,857.1,849.55,848.25,846.35,843.55,843.45,843.25,842.85,841.0,836.95,836.5,836.3,835.9,835.9,833.15,833.15,833.15,833.15,833.15,833.15,832.95,830.4,830.3,830.2,829.9,829.9,829.9,829.8,829.8,828.4,828.4,828.3,828.2,828.05,827.85,827.75,827.65,827.65,827.2,826.95,826.85,826.85,826.85,826.85,826.85,826.65,826.65,826.5,826.5,826.5,826.5,826.4,826.4,826.4,826.4,826.4,826.4,826.2,826.1,826.1,825.9,825.9,825.9,825.8,825.8,825.8,825.35,825.25,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.15,825.0,825.0,825.0,825.0,824.75,824.75,824.75,824.75,824.75,824.5,824.35,824.35,824.35,824.35,824.25,824.0,824.0,823.8,823.8,823.8,823.6,823.55,823.55,823.35,823.35,823.35,823.15,823.15,823.15,823.15,823.15,823.15,823.15,823.15,823.15,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.7,822.55,822.3,822.3,822.15,822.15,822.15,822.15,822.15,822.15,822.15,822.15,822.15,822.15,822.15,822.15,822.0,822.0,822.0,822.0,821.75,821.75,821.75,821.55,821.55,821.55,821.55,821.55,821.55,821.55,821.55,821.3,821.3,821.3,821.3,821.3,821.0,821.0,820.85,820.85,820.85,820.85,820.7,820.7,820.7,820.7,820.7,820.7,805.15
HHOCVRP,A-n33-k5,661,681.1,3.0408,0.8,1280.1,1066.5,960.45,890.3,813.05,768.8,739.9,737.0,737.0,736.0,733.55,731.2,730.95,728.3,728.3,726.3,725.85,725.7,725.7,725.25,724.7,724.7,724.7,724.45,724.45,724.4,723.6,722.9,721.75,721.75,719.9,719.9,719.05,719.05,717.8,716.95,716.75,715.25,715.0,715.0,714.2,712.45,711.55,711.25,711.1,711.1,711.1,710.5,709.75,709.35,709.1,708.65,707.4,707.4,707.2,706.6,706.6,705.95,705.95,705.95,705.95,705.95,705.95,705.95,705.95,705.95,705.7,705.35,705.35,705.1,705.1,703.95,703.95,703.15,702.8,702.8,702.8,702.8,702.5,702.0,701.1,701.1,701.0,700.45,700.45,700.0,698.65,698.55,698.55,698.55,698.2,698.2,698.2,698.2,697.5,697.5,697.45,697.45,697.05,696.85,696.7,695.95,695.5,695.3,695.3,695.25,695.0,695.0,695.0,694.85,694.8,694.8,694.8,694.7,694.7,694.7,694.7,694.7,694.15,694.15,694.15,694.15,692.55,692.55,692.55,692.55,692.2,692.2,692.2,692.2,692.2,691.65,691.5,691.5,691.5,691.25,691.25,691.25,691.25,690.8,690.8,690.8,690.8,690.8,690.3,690.3,690.3,689.85,689.5,689.5,689.4,689.4,689.4,689.4,689.4,689.35,689.35,688.7,688.55,688.2,688.2,688.2,688.1,688.1,688.0,687.8,687.8,687.8,687.8,687.7,687.7,687.7,687.7,687.1,687.1,687.0,686.95,686.7,686.7,686.6,686.35,686.35,686.35,686.35,686.35,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,686.15,681.1
HHOCVRP,A-n33-k6,742,753.25,1.5162,0.72,1212.05,965.55,877.5,856.4,850.6,815.75,812.0,810.0,809.95,805.0,800.0,798.45,796.4,796.4,796.35,795.7,794.6,792.85,791.55,789.45,789.1,788.75,788.0,787.8,787.7,787.7,785.85,785.05,784.3,781.75,781.75,781.75,781.05,781.05,780.9,780.9,780.8,780.55,778.3,778.25,778.25,778.25,777.55,776.75,776.35,776.1,775.8,774.25,774.25,774.25,773.5,773.05,773.0,772.95,772.15,772.15,772.15,772.15,772.15,771.95,771.65,770.85,770.75,770.75,770.75,770.7,770.7,770.4,770.4,770.25,770.25,770.25,770.25,769.95,769.95,769.95,769.8,769.3,769.1,768.15,767.75,766.7,766.7,766.35,766.35,766.0,765.6,765.6,764.5,764.5,764.25,764.25,762.85,761.75,761.7,761.65,761.25,761.25,761.2,761.2,761.2,761.2,761.2,761.2,761.2,761.2,761.2,760.8,760.8,760.8,760.45,760.45,760.45,760.15,760.15,760.1,760.1,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.05,760.0,760.0,760.0,760.0,760.0,759.3,759.3,758.85,758.85,758.85,758.85,758.7,758.65,758.65,758.55,758.55,758.55,758.55,758.55,758.55,758.55,758.55,758.35,758.35,758.35,758.35,758.35,758.35,758.35,758.35,758.35,758.35,758.05,758.0,757.75,757.75,757.75,757.75,757.75,757.75,757.55,757.55,757.2,757.2,757.2,757.15,757.1,757.1,756.75,756.7,756.6,756.6,756.5,756.5,756.45,756.45,756.45,756.45,756.45,756.15,756.15,756.15,756.15,756.0,756.0,756.0,756.0,753.25
HHOCVRP,A-n34-k5,778,796.2,2.3393,0.75,1338.3,1094.95,1013.65,937.3,924.2,898.1,893.15,889.25,887.6,886.15,883.25,878.25,873.45,865.85,865.5,865.25,864.75,860.95,859.45,857.85,857.6,852.45,852.45,850.1,850.05,850.05,848.6,848.4,847.55,847.45,847.45,847.0,846.15,846.15,844.3,843.65,843.65,843.55,843.05,843.0,843.0,842.6,841.25,839.8,839.6,839.15,838.1,837.8,837.8,837.8,835.6,835.6,833.95,832.0,827.95,827.6,827.6,826.95,826.95,825.0,823.7,823.7,823.7,823.7,823.7,823.5,822.25,821.6,821.6,821.3,821.3,821.2,821.05,821.0,821.0,821.0,821.0,821.0,821.0,820.1,818.7,818.7,817.05,816.0,816.0,816.0,815.35,814.95,814.95,814.95,814.95,814.7,814.5,814.5,811.6,811.6,810.4,810.05,810.05,809.15,808.15,808.15,807.7,807.7,807.15,806.75,806.75,806.75,806.75,806.5,806.5,806.5,806.35,806.35,806.35,806.35,806.35,806.35,806.3,805.95,805.95,805.95,805.95,805.0,804.8,804.6,804.6,804.45,804.45,804.0,803.25,803.25,803.25,803.25,802.6,802.6,802.6,802.6,802.35,802.35,802.35,802.35,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.15,802.1,802.0,802.0,802.0,801.75,801.75,801.75,801.75,801.75,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,796.2
HHOCVRP,A-n36-k5,799,825.3,3.2916,0.83,1380.5,1206.0,989.85,946.35,942.85,933.3,930.8,898.55,895.15,889.25,886.95,882.4,875.25,874.75,874.5,873.75,873.6,872.9,871.15,870.65,870.55,869.8,869.55,869.55,869.0,869.0,869.0,868.6,868.25,868.25,868.25,866.9,866.6,866.45,866.2,865.85,865.25,865.25,865.25,865.25,864.85,864.45,864.45,863.5,863.3,863.3,863.3,863.0,863.0,862.35,862.25,861.55,861.55,861.5,861.5,861.5,860.25,859.55,859.2,859.2,859.15,857.5,856.3,856.1,855.95,855.75,854.85,854.85,854.3,852.5,852.4,852.1,852.1,852.1,852.1,851.25,851.25,850.5,850.5,850.5,850.5,850.3,850.2,850.0,850.0,850.0,850.0,850.0,849.8,849.7,848.5,848.5,848.3,847.45,846.75,846.45,845.7,845.4,844.85,844.85,844.85,844.65,844.65,844.15,844.15,844.15,843.95,843.95,843.95,843.3,842.7,842.0,842.0,841.9,841.35,841.15,841.15,841.15,840.95,840.9,840.1,840.1,840.1,840.1,840.1,838.95,838.95,838.65,838.45,838.15,837.95,837.95,837.95,837.95,837.95,836.95,836.95,836.95,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.7,836.5,836.4,836.1,836.1,836.1,836.1,835.8,835.7,835.6,835.6,835.4,835.4,835.4,835.3,835.3,835.0,834.8,834.8,834.8,834.8,834.1,833.3,833.2,833.2,832.75,831.85,831.65,831.65,831.65,831.65,831.6,831.6,831.6,831.6,831.6,831.6,831.6,831.0,830.75,830.75,830.75,830.65,830.65,830.65,830.35,830.15,830.15,830.15,825.3
HHOCVRP,A-n37-k5,669,695.05,3.8939,0.82,1359.45,1171.75,1034.35,833.15,825.1,813.9,775.0,770.25,767.3,762.7,758.95,758.45,758.45,754.35,751.75,751.4,749.25,747.0,744.9,744.1,739.95,739.4,737.95,737.3,737.3,737.3,735.4,734.2,734.2,733.45,733.45,732.25,732.05,731.6,731.6,731.15,731.15,730.65,730.65,730.4,729.6,729.6,729.15,729.15,729.1,728.8,728.8,728.15,727.45,726.85,726.85,726.1,726.1,726.1,724.95,723.85,723.75,723.75,723.75,723.25,723.05,722.8,722.5,722.1,722.1,721.55,720.8,720.3,719.8,719.6,718.95,718.05,718.05,718.05,718.05,717.7,717.7,717.7,716.5,716.5,716.5,716.5,716.5,716.5,715.6,715.6,715.2,715.2,715.2,715.2,714.8,714.8,714.8,714.6,714.6,714.6,714.6,714.6,714.45,713.7,713.55,713.55,713.55,713.55,713.55,713.3,713.3,713.3,713.3,713.3,713.3,713.3,713.3,712.65,712.65,712.65,711.9,711.6,711.6,711.2,711.2,710.8,710.7,710.7,710.3,709.85,709.85,708.7,708.65,708.65,708.65,708.55,708.05,708.05,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.8,707.6,707.6,707.6,707.6,707.6,707.6,707.6,707.55,706.95,706.8,706.8,706.8,706.8,706.8,706.8,706.8,706.8,706.8,706.8,706.5,706.5,706.5,706.5,706.5,706.5,705.95,705.95,705.5,705.4,705.4,704.95,704.95,704.95,704.65,704.65,704.65,704.65,704.65,704.35,704.1,704.1,704.1,704.1,704.1,704.05,704.05,704.0,703.75,703.75,703.75,695.05
HHOCVRP,A-n37-k6,949,975.0,2.7397,0.84,1718.4,1549.9,1379.95,1292.6,1141.55,1133.55,1132.5,1114.65,1073.4,1067.95,1064.3,1064.3,1064.3,1057.55,1057.55,1056.3,1054.9,1053.7,1051.75,1047.45,1046.75,1045.5,1045.1,1045.05,1044.5,1044.5,1044.5,1043.55,1043.25,1041.6,1041.6,1041.6,1040.55,1039.3,1039.3,1038.8,1038.35,1037.9,1037.8,1037.8,1034.25,1033.6,1032.45,1031.1,1031.05,1030.05,1030.05,1029.5,1028.15,1026.2,1025.75,1025.75,1025.75,1025.75,1025.75,1025.35,1025.35,1025.35,1025.35,1024.15,1024.15,1024.15,1023.95,1023.95,1023.85,1022.25,1022.25,1022.25,1022.25,1021.1,1021.1,1019.05,1018.9,1016.0,1015.95,1015.85,1015.7,1015.7,1015.7,1015.7,1014.95,1014.05,1013.45,1010.35,1010.0,1009.7,1009.55,1009.5,1009.1,1008.35,1007.75,1007.7,1007.7,1007.7,1005.8,1005.65,1005.65,1005.6,1005.6,1003.55,1003.45,1002.45,1002.45,1001.55,1001.35,1001.1,1001.1,1001.1,1001.1,1000.1,999.75,999.4,999.2,999.0,997.8,997.6,997.6,997.6,996.7,996.55,996.55,996.1,996.1,995.95,995.4,995.4,995.3,995.3,995.3,995.3,994.7,994.6,994.6,994.2,994.2,994.2,994.0,993.85,993.85,993.8,992.7,992.7,992.7,991.15,991.15,991.15,991.15,990.6,990.3,990.2,990.2,989.3,989.25,988.55,988.55,988.55,988.5,988.5,988.4,987.95,987.9,987.9,987.9,987.9,987.9,987.9,987.4,987.05,986.85,986.7,986.6,986.55,986.4,986.3,985.95,985.95,985.4,985.15,984.3,984.0,984.0,983.95,983.95,983.55,983.45,983.15,983.15,982.75,982.75,982.75,982.65,982.6,982.6,981.55,981.55,981.45,981.45,981.45,981.25,975.0
HHOCVRP,A-n38-k5,730,739.95,1.363,0.85,1605.0,1401.15,1168.8,1013.3,953.1,950.1,891.05,842.4,842.4,805.5,805.35,804.35,802.4,799.8,799.1,796.15,793.6,793.2,791.8,787.45,787.45,787.05,786.5,786.5,785.5,785.2,784.05,784.05,782.05,782.05,781.25,780.7,780.7,780.7,779.9,779.9,778.95,778.95,778.45,778.2,775.85,775.1,773.95,773.95,773.9,773.9,773.85,773.85,773.85,773.85,773.35,773.35,773.35,773.15,771.9,771.9,771.4,770.65,769.9,769.9,769.85,769.05,769.05,768.85,768.1,768.1,767.05,766.8,766.8,766.8,766.75,766.05,765.95,765.3,764.55,764.45,764.45,762.9,761.3,761.3,761.3,760.65,760.2,760.2,760.2,760.2,760.1,760.05,760.05,760.05,760.05,759.45,759.2,758.95,758.95,758.95,758.9,758.5,758.5,758.35,758.35,758.35,758.25,758.25,757.7,757.65,757.6,757.6,757.6,757.6,757.6,757.5,757.5,756.95,756.95,756.5,756.25,756.25,756.25,755.7,754.95,754.95,753.7,753.7,753.65,753.2,753.0,753.0,753.0,753.0,753.0,753.0,752.9,752.65,752.65,752.55,752.55,752.55,752.35,752.35,752.35,752.2,752.15,751.75,751.6,751.6,751.6,751.6,751.6,751.6,751.6,751.6,751.5,750.6,750.6,749.9,749.9,749.9,749.9,749.7,749.7,749.7,749.7,749.45,749.25,749.25,749.25,749.25,749.15,749.05,749.05,749.05,749.05,749.0,748.9,748.7,748.7,748.5,747.75,747.75,747.65,747.6,747.6,747.6,747.6,747.45,747.45,747.25,747.25,747.25,747.05,746.75,746.7,746.65,746.5,746.5,746.3,746.3,746.15,739.95
HHOCVRP,A-n39-k5,822,847.7,3.1265,0.88,1530.45,1244.5,1143.4,969.8,963.85,958.75,953.75,950.7,945.85,940.2,933.75,933.4,931.3,928.7,923.05,919.5,918.9,917.5,917.2,916.2,914.95,914.75,912.8,912.8,912.0,909.1,908.6,907.25,906.15,904.4,904.35,903.7,903.7,903.7,902.65,902.45,901.85,901.85,900.25,898.55,897.4,895.8,894.3,893.1,891.55,891.55,891.1,891.1,889.75,888.2,888.2,888.0,888.0,887.65,887.5,887.3,887.3,886.4,886.4,886.4,886.4,886.4,886.4,886.3,886.25,886.2,886.2,886.2,886.2,886.0,885.9,885.9,884.95,884.4,883.5,883.5,883.5,883.35,883.35,883.35,883.35,883.15,882.9,882.15,882.1,882.1,882.1,882.1,882.1,882.1,880.65,880.65,880.65,880.6,880.6,879.0,878.65,878.6,878.6,878.05,878.05,877.65,877.65,877.2,876.65,876.4,876.4,876.4,876.4,875.75,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,874.3,873.95,873.3,873.3,873.3,873.05,872.75,872.65,872.65,872.05,872.05,872.05,871.6,871.45,871.45,871.45,870.6,870.4,870.4,870.4,870.3,870.3,870.3,870.05,869.35,869.35,869.25,868.5,868.5,868.35,868.0,867.75,867.75,867.75,867.75,867.75,867.75,867.65,867.0,867.0,866.65,866.6,866.6,866.3,866.3,866.05,865.15,865.15,864.9,864.7,864.5,864.5,864.5,864.5,864.5,864.5,863.3,863.1,862.8,862.8,862.8,862.75,861.9,861.9,861.9,861.3,861.3,860.95,860.95,860.95,860.95,860.95,860.95,860.95,860.15,860.15,860.15,860.15,860.15,859.9,858.95,847.7
HHOCVRP,A-n39-k6,831,859.35,3.4116,0.91,1680.0,1306.45,1118.2,1055.25,994.75,947.25,937.75,928.55,928.35,926.35,925.35,924.2,922.75,921.6,921.6,920.25,918.05,918.05,918.05,917.85,916.65,914.95,913.85,913.7,913.7,913.25,913.25,912.3,910.2,910.2,909.75,909.75,908.9,908.9,907.85,907.55,906.85,905.2,905.2,904.65,904.3,904.25,904.25,904.25,904.0,903.15,901.55,900.95,900.95,900.95,900.6,900.6,899.3,899.3,898.65,898.65,897.45,896.85,895.7,895.7,895.7,895.55,893.65,893.05,892.0,890.4,889.35,889.35,889.35,889.25,888.45,888.45,888.45,887.55,887.55,887.5,886.9,886.1,885.1,885.1,885.1,884.75,884.75,884.75,883.7,883.0,883.0,883.0,882.9,882.6,882.3,882.2,882.2,882.2,882.0,881.25,879.85,879.85,879.85,879.15,878.0,877.75,876.0,876.0,876.0,875.25,875.25,874.75,874.3,874.3,874.3,874.3,874.3,874.3,874.0,874.0,874.0,873.85,873.85,873.85,873.85,873.85,873.85,873.85,873.4,872.8,872.15,871.15,871.0,871.0,871.0,871.0,871.0,871.0,870.75,870.75,870.7,870.65,870.5,870.2,870.2,869.75,869.75,868.85,868.85,868.85,868.85,867.95,867.95,867.85,867.85,867.85,867.85,867.55,867.55,867.55,867.55,867.55,867.3,867.3,867.3,867.3,867.3,867.3,867.3,867.3,867.05,867.05,867.05,867.05,867.05,865.9,865.9,865.9,865.9,865.9,865.9,865.9,865.9,865.6,864.9,864.9,864.5,864.5,864.5,864.5,864.5,864.4,864.3,864.3,863.9,863.75,863.75,863.75,863.75,863.75,863.75,863.75,863.75,859.35
