Optimizer,Instance,BKS,BS,Gap,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
HHOCVRP,A-n32-k5,784,807.0,2.9337,0.18,1537.1,1324.75,1227.85,1129.35,1042.05,878.55,874.65,874.65,874.65,874.55,869.85,869.6,868.05,868.05,864.05,860.2,857.5,853.95,853.95,853.95,853.75,850.8,841.0,840.65,840.65,840.65,840.55,840.55,840.55,840.05,836.05,836.05,835.75,835.65,834.0,833.75,832.15,831.85,831.75,831.65,831.55,831.55,831.45,831.45,831.45,831.25,831.25,831.25,831.15,830.9,830.8,830.5,830.5,830.5,830.15,829.9,829.85,829.85,829.85,829.85,829.85,829.75,829.75,829.55,829.55,828.4,828.4,828.4,828.3,828.3,828.15,828.15,828.15,828.15,828.15,827.85,827.85,827.85,827.85,827.6,827.4,827.2,826.95,826.95,826.95,826.95,826.95,826.95,826.95,826.95,826.95,826.95,826.95,826.95,826.8,826.8,826.8,826.8,826.65,807.0
HHOCVRP,A-n33-k5,661,684.8,3.6006,0.18,1368.85,1186.15,1100.95,1030.2,988.05,935.05,893.95,860.7,830.65,823.3,818.5,815.6,757.15,756.4,755.2,753.05,750.8,750.8,748.65,745.7,745.25,740.65,739.25,739.15,735.1,733.3,731.35,727.85,727.85,727.2,722.65,717.95,716.05,716.05,715.4,714.45,713.95,713.45,713.05,711.7,711.7,711.7,711.7,711.65,709.65,709.65,709.65,709.65,709.55,708.3,708.3,706.35,705.4,705.4,705.4,705.4,705.4,705.4,703.0,701.9,701.5,701.5,701.5,700.1,700.1,700.05,700.05,699.0,698.9,698.9,698.85,698.85,698.65,698.65,698.65,698.65,698.25,698.25,697.9,697.9,697.9,697.9,697.9,697.8,697.8,697.8,697.6,697.05,696.9,696.9,696.9,696.3,696.3,696.2,696.2,695.9,695.9,695.9,695.65,684.8
HHOCVRP,A-n33-k6,742,758.45,2.217,0.2,1407.05,1312.75,1259.1,1168.65,1102.05,1081.15,1048.4,1044.2,933.05,898.2,890.45,859.5,831.0,827.85,821.7,814.8,813.85,812.95,806.3,804.85,803.2,803.05,799.65,798.9,797.5,795.75,792.6,790.75,789.5,789.35,789.35,789.35,789.35,787.1,786.9,786.9,786.7,786.3,785.6,785.15,784.7,783.45,783.45,783.45,782.85,782.85,782.55,782.3,782.3,781.55,780.95,778.4,778.25,777.45,776.3,776.25,775.15,775.0,775.0,775.0,774.95,774.45,772.3,772.3,772.3,772.3,772.05,772.05,772.05,772.05,771.75,771.75,771.6,771.6,771.6,771.6,771.25,771.25,770.8,770.75,770.7,770.25,770.25,770.2,770.2,770.2,770.2,770.1,770.1,770.1,770.1,769.8,769.8,769.75,768.95,768.95,768.75,768.75,768.75,758.45
HHOCVRP,A-n34-k5,778,805.2,3.4961,0.21,1547.7,1346.65,1295.8,1153.65,1146.15,1076.95,1068.75,1002.85,961.15,959.1,956.55,950.0,916.25,914.95,914.25,909.6,901.2,899.1,868.1,868.1,863.55,858.6,857.6,856.1,855.05,854.1,854.1,853.8,853.8,853.2,853.0,852.9,852.9,851.65,851.1,845.9,845.3,845.3,844.6,844.15,844.15,842.35,842.15,842.0,841.95,839.45,839.2,838.05,837.6,837.6,836.3,835.9,835.2,834.65,833.75,831.75,831.4,830.55,830.4,829.4,829.35,829.1,827.3,827.3,827.3,826.05,825.8,825.4,825.2,825.2,824.85,824.85,824.6,824.6,824.6,824.6,823.95,823.95,823.95,823.9,823.9,823.65,823.4,823.4,823.35,823.35,823.0,823.0,823.0,822.95,822.95,822.0,822.0,821.65,821.65,821.6,821.45,821.05,820.9,805.2
HHOCVRP,A-n36-k5,799,834.6,4.4556,0.23,1767.45,1542.4,1432.05,1332.8,1250.45,1169.3,1025.65,1025.2,907.9,907.6,907.6,903.95,901.45,897.9,896.65,895.25,894.15,892.5,891.0,887.9,886.2,884.65,883.4,882.75,880.45,880.45,880.4,876.45,875.85,875.1,875.1,874.4,873.55,873.55,872.65,871.4,871.0,869.2,868.05,867.75,866.75,865.85,865.65,865.65,865.65,864.8,862.95,862.95,862.95,860.45,860.25,859.6,858.6,858.6,858.05,857.9,857.9,856.4,856.4,856.4,856.4,856.1,856.1,856.1,856.0,856.0,856.0,856.0,855.4,855.4,854.15,854.15,854.15,854.15,854.15,853.85,853.85,853.5,853.5,853.25,852.1,851.55,851.55,851.35,851.35,851.05,851.05,850.05,849.9,849.7,849.2,849.1,849.0,849.0,848.7,848.7,848.6,848.6,848.25,834.6
HHOCVRP,A-n37-k5,669,698.2,4.3647,0.22,1386.1,1276.9,1135.55,1000.5,993.85,948.3,871.0,824.6,824.6,823.1,819.15,804.1,767.35,764.7,764.7,762.85,760.1,756.2,754.55,753.85,753.55,752.6,751.0,750.7,750.35,748.1,747.1,746.5,744.85,743.3,741.05,739.5,739.5,739.1,738.7,738.7,736.95,736.45,736.05,735.3,735.3,735.3,733.9,733.2,732.65,732.35,732.1,730.95,730.95,730.3,729.45,728.15,728.15,728.0,727.05,727.05,727.05,726.8,726.8,726.45,725.2,724.2,724.2,723.7,723.6,723.6,723.6,722.3,722.15,720.6,720.6,720.6,719.95,719.95,719.35,718.95,717.1,717.1,717.1,717.1,717.1,717.0,717.0,717.0,717.0,717.0,717.0,717.0,716.55,716.2,716.2,716.2,714.95,714.65,714.65,714.6,713.7,713.7,713.7,698.2
HHOCVRP,A-n37-k6,949,998.7,5.2371,0.23,1712.7,1411.75,1358.3,1302.85,1264.35,1257.55,1182.3,1104.2,1104.2,1101.2,1099.85,1092.35,1086.6,1085.8,1084.75,1082.45,1080.05,1078.4,1071.6,1068.3,1066.95,1064.8,1064.8,1064.1,1063.7,1063.45,1062.75,1060.5,1059.4,1058.65,1057.65,1055.3,1055.2,1053.4,1052.7,1052.7,1052.2,1052.2,1052.2,1051.35,1050.35,1050.05,1048.75,1048.75,1047.85,1047.85,1043.5,1043.15,1042.25,1038.7,1036.65,1035.05,1033.2,1033.2,1031.65,1031.65,1030.1,1029.35,1029.3,1027.75,1027.6,1026.85,1026.85,1026.85,1026.85,1025.7,1024.2,1024.1,1024.1,1024.1,1023.65,1022.4,1022.4,1021.65,1021.25,1021.05,1020.05,1019.65,1019.6,1019.1,1019.1,1018.9,1018.9,1018.3,1018.3,1018.3,1018.2,1018.2,1017.5,1017.2,1017.2,1016.8,1016.8,1016.3,1015.85,1015.85,1014.9,1014.7,1014.7,998.7
HHOCVRP,A-n38-k5,730,750.95,2.8699,0.24,1442.25,1279.15,1166.1,1077.55,981.95,925.45,923.25,911.95,911.2,911.2,865.1,864.5,861.9,861.9,859.6,854.25,852.2,811.25,810.8,807.05,805.2,805.2,802.2,799.2,796.85,793.05,791.15,790.95,790.25,790.05,790.05,788.65,788.1,786.7,786.7,786.7,785.8,785.75,785.15,783.7,783.55,783.55,783.55,783.55,783.55,783.2,783.2,783.2,783.2,782.3,781.8,779.75,779.75,779.75,778.65,778.2,776.3,774.6,774.6,774.4,774.1,773.5,773.1,773.1,773.1,772.65,771.8,771.8,771.45,771.45,771.45,771.05,770.4,769.8,769.6,769.6,769.2,769.2,769.2,769.2,769.2,769.15,769.15,768.15,768.15,767.6,767.6,767.6,767.6,767.4,766.6,766.6,766.5,765.9,765.9,765.85,765.8,765.65,765.4,750.95
HHOCVRP,A-n39-k5,822,861.55,4.8114,0.25,1791.8,1546.15,1359.7,1272.75,1223.75,1139.55,1080.95,1075.0,1027.35,991.15,988.4,988.0,988.0,985.05,952.35,947.85,947.85,945.4,942.6,941.05,939.15,936.95,933.65,933.1,929.05,928.1,927.9,925.6,924.65,921.8,921.15,920.8,920.25,920.25,920.05,920.05,919.95,918.0,916.25,914.95,914.3,914.3,914.3,914.3,913.1,912.3,911.05,910.95,906.2,904.3,902.5,902.0,902.0,900.65,900.5,900.05,900.05,900.05,898.95,898.3,898.25,898.25,897.9,895.95,895.95,895.95,895.95,894.3,894.25,894.25,894.25,894.25,893.75,893.75,893.75,893.0,892.9,892.9,891.85,891.85,891.35,890.55,889.7,889.7,889.7,889.7,889.7,889.7,889.7,889.7,889.6,889.3,889.25,888.15,888.15,888.15,888.15,888.15,886.85,861.55
HHOCVRP,A-n39-k6,831,873.3,5.0903,0.24,1761.95,1682.75,1607.35,1414.4,1316.05,1305.85,1209.25,1157.85,1103.4,1101.25,1048.05,990.65,944.95,938.8,935.0,932.9,928.95,923.0,923.0,921.8,920.65,919.3,919.3,916.75,916.75,915.75,914.8,914.3,912.55,912.5,911.15,911.15,909.85,909.6,909.55,909.55,909.55,907.9,907.25,907.1,905.25,904.6,904.25,904.25,904.0,902.7,902.7,902.7,900.6,899.85,899.05,899.05,896.2,895.9,895.9,895.25,895.15,895.15,894.85,894.85,894.85,894.05,891.65,891.65,891.65,891.5,891.5,891.45,891.45,890.95,890.0,890.0,890.0,890.0,889.45,889.45,889.45,889.45,889.0,889.0,889.0,889.0,888.95,888.75,888.75,887.7,887.15,887.15,887.15,887.15,887.15,887.15,887.15,887.15,887.15,884.55,884.55,884.4,884.4,873.3
