Optimizer,Instance,BKS,BS,Gap,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
HHOCVRP,A-n32-k5,784,806.75,2.9018,0.39,1493.9,1418.3,1187.9,1134.3,1131.9,1087.55,1080.95,1036.35,1029.4,987.9,953.15,934.1,925.85,880.3,877.9,867.65,866.1,863.95,862.3,862.3,858.25,853.9,851.9,848.9,848.45,848.45,845.95,845.5,845.4,842.0,841.15,841.15,841.05,841.05,838.35,838.35,837.0,837.0,837.0,837.0,837.0,836.6,834.0,831.2,831.2,831.2,830.95,830.95,830.95,830.7,830.2,830.2,830.1,829.75,829.75,829.75,829.75,829.55,829.55,829.55,829.55,829.55,829.3,829.3,828.95,828.75,828.75,828.55,828.55,828.55,828.55,828.35,828.35,828.35,828.35,828.35,828.35,828.35,828.0,827.8,827.8,827.8,827.8,827.6,827.6,827.6,827.6,827.6,827.35,827.35,827.35,827.35,827.35,827.35,827.35,827.3,827.3,827.3,827.3,827.3,827.2,827.2,827.2,827.2,827.2,827.2,826.95,826.95,826.95,826.95,826.95,826.95,826.75,826.75,826.65,826.65,826.65,826.45,826.45,826.45,826.45,826.45,826.45,826.25,826.25,826.25,826.25,826.0,826.0,826.0,826.0,826.0,826.0,826.0,826.0,826.0,826.0,826.0,825.75,825.75,825.75,825.75,825.55,825.55,825.3,825.1,825.1,825.1,825.1,825.0,825.0,825.0,825.0,825.0,825.0,824.75,824.75,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.55,824.3,824.15,823.95,823.95,823.85,823.85,823.85,823.85,823.85,823.65,823.65,823.25,823.25,823.1,823.1,823.1,822.9,822.65,822.65,822.5,822.3,822.3,822.3,822.3,822.3,822.3,822.25,822.25,822.25,806.75
HHOCVRP,A-n33-k5,661,688.9,4.2209,0.38,1405.85,1220.05,1163.5,1110.35,1043.85,1006.3,905.85,872.4,840.5,838.8,805.05,795.75,761.4,760.9,760.1,753.6,752.75,752.75,751.5,750.25,749.3,746.95,745.85,744.7,740.6,739.55,739.4,739.4,739.4,739.25,739.25,739.25,738.7,738.7,738.45,738.45,737.65,736.6,736.6,734.05,733.85,731.1,729.3,729.3,729.3,729.3,729.3,725.85,725.75,725.75,725.75,724.55,724.55,723.35,722.95,722.8,722.8,721.0,717.1,717.1,716.2,716.2,714.8,714.8,714.8,714.8,714.8,714.5,714.05,714.05,712.9,712.9,712.7,711.5,711.35,711.35,711.35,711.35,711.25,709.25,709.2,709.2,709.2,709.2,709.2,709.2,707.95,707.95,706.25,706.25,705.55,705.55,705.55,705.55,704.65,704.5,704.5,704.5,704.5,704.5,703.9,703.5,703.45,703.45,703.45,703.45,703.45,703.45,703.45,703.45,703.45,702.75,702.65,702.65,702.65,702.65,702.5,702.5,701.5,701.5,700.75,699.85,699.85,699.3,698.4,698.4,698.4,698.4,698.4,698.4,698.4,698.4,698.0,698.0,698.0,698.0,697.9,697.85,697.85,697.85,697.85,697.4,697.4,697.25,697.25,697.25,697.25,696.55,696.55,696.55,696.3,696.3,696.3,696.3,696.3,696.25,696.25,696.25,696.25,696.25,696.25,696.25,696.25,696.25,696.25,696.25,695.85,695.85,695.85,695.5,695.5,695.5,695.5,695.3,695.3,694.95,694.65,694.65,694.65,694.55,694.55,694.55,694.55,694.55,694.55,694.55,694.55,694.55,694.5,694.5,694.1,694.1,693.4,693.4,693.4,693.0,693.0,693.0,693.0,688.9
HHOCVRP,A-n33-k6,742,758.1,2.1698,0.39,1429.6,1308.0,1255.05,1152.4,999.7,934.1,933.85,900.8,860.05,854.4,848.75,847.4,842.5,841.45,840.25,838.35,806.6,806.3,805.7,805.35,804.65,804.5,801.75,800.7,800.0,799.55,797.05,796.5,796.5,796.5,794.15,794.15,794.15,793.85,793.05,792.7,791.6,790.85,788.9,788.85,788.65,788.65,788.35,788.35,788.35,788.35,788.35,788.35,787.9,787.9,787.7,787.7,787.25,785.85,784.85,784.7,784.7,784.5,784.5,783.35,783.35,783.35,783.35,783.35,783.3,782.7,780.85,780.85,780.85,780.65,780.65,780.65,780.65,780.65,780.5,780.5,780.5,780.5,780.5,779.65,779.65,779.65,779.65,778.6,777.15,777.15,776.2,776.15,776.15,776.15,775.85,775.1,775.1,774.45,772.15,770.7,770.7,770.25,770.25,770.25,770.25,770.2,769.55,769.3,769.3,768.4,768.2,768.2,768.2,768.2,768.2,768.2,768.1,767.1,767.0,766.9,766.9,766.1,766.05,766.05,765.2,765.2,765.15,765.15,765.1,765.1,765.05,765.05,765.0,765.0,765.0,765.0,765.0,765.0,764.95,764.95,764.95,764.9,764.9,764.9,764.9,764.9,764.9,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.6,764.25,764.2,764.2,764.2,764.2,764.2,764.1,764.1,764.05,764.05,764.0,763.9,763.9,763.9,763.9,763.9,763.85,763.8,763.8,763.8,762.7,762.2,762.1,762.1,762.1,762.0,761.95,761.7,761.55,761.55,761.35,761.35,761.35,761.25,761.2,761.2,761.2,760.8,760.75,760.7,760.7,760.7,760.6,758.1
HHOCVRP,A-n34-k5,778,797.65,2.5257,0.41,1434.9,1287.3,1125.45,1062.75,1059.4,977.75,939.65,889.35,883.6,883.6,882.55,880.95,880.05,872.95,872.85,872.55,870.65,870.65,869.1,869.05,866.6,866.6,866.6,866.0,865.5,865.5,865.5,865.5,862.6,860.2,858.95,858.95,856.7,855.65,855.65,855.65,855.65,855.65,853.9,853.9,852.7,852.7,852.7,850.1,849.95,849.95,849.95,849.35,849.35,849.35,848.6,848.6,844.6,844.6,844.6,844.6,844.6,842.9,842.9,842.8,842.8,841.6,841.45,838.8,838.8,837.7,837.7,837.7,837.7,837.7,837.7,837.35,835.95,835.95,835.95,835.5,835.4,833.85,833.85,833.85,833.8,833.75,833.75,833.65,833.55,833.55,830.8,829.8,829.55,829.55,829.0,829.0,828.95,828.45,827.3,826.5,826.45,826.4,826.0,825.9,825.9,825.05,823.55,823.55,823.45,823.3,823.3,823.3,823.05,823.05,823.05,822.75,822.2,822.1,821.95,821.7,821.7,821.7,821.6,821.6,821.6,821.6,821.6,821.6,821.4,821.25,820.85,820.85,820.85,820.7,820.2,819.95,819.95,819.9,819.9,819.9,818.4,818.2,817.95,817.95,817.5,817.5,817.15,817.15,816.95,816.95,816.95,816.95,816.95,816.95,816.95,816.95,816.95,816.95,816.95,816.85,815.25,814.35,814.35,814.35,813.55,813.55,813.55,813.55,813.5,813.3,813.3,813.3,813.1,813.1,812.85,812.2,812.2,812.2,812.2,812.2,811.65,811.65,811.35,811.35,811.35,811.3,811.3,811.25,811.15,811.15,811.15,811.0,811.0,810.45,810.45,810.4,809.9,808.05,808.05,808.05,808.05,807.75,807.7,797.65
HHOCVRP,A-n36-k5,799,824.3,3.1665,0.46,1645.1,1440.55,1385.15,1212.8,1164.35,1080.05,1024.8,1020.0,967.6,927.25,926.95,922.95,918.2,886.85,886.55,883.55,883.55,881.15,880.25,880.25,880.25,880.1,880.1,879.8,879.8,877.9,877.9,877.8,876.9,876.9,876.9,876.9,874.9,873.65,872.2,872.2,872.2,872.2,872.1,868.2,868.2,868.2,865.95,863.75,863.6,863.25,863.25,863.25,863.2,863.2,863.2,863.2,863.2,862.9,862.9,862.9,862.6,862.45,862.45,862.35,862.35,862.35,862.35,862.05,861.9,861.6,861.6,860.8,860.05,860.05,860.05,860.05,860.05,860.05,860.0,859.6,859.1,859.1,858.95,858.6,858.6,857.7,857.1,857.1,857.1,857.1,857.1,857.1,856.9,856.9,855.35,855.35,853.0,853.0,852.8,852.8,852.15,851.75,851.15,851.0,851.0,850.55,850.55,850.55,850.55,849.3,849.3,849.3,847.6,847.6,846.9,846.9,846.25,846.25,845.65,845.65,845.55,845.55,845.55,844.9,844.8,844.8,844.8,844.6,844.6,844.6,844.45,844.45,844.45,844.15,844.15,843.45,843.45,843.45,843.45,843.45,843.3,843.3,843.3,843.25,842.55,842.55,842.05,842.05,841.9,841.85,841.35,841.35,841.35,840.75,840.75,840.45,840.2,840.2,840.2,840.2,840.05,840.05,839.95,839.95,839.95,839.95,839.85,839.85,839.85,839.65,838.6,838.3,838.3,838.05,838.05,838.05,838.05,838.0,838.0,838.0,838.0,837.8,837.65,837.65,837.65,837.65,837.65,837.65,837.65,837.65,837.65,837.65,836.95,836.95,836.8,835.9,835.9,835.9,835.9,835.9,835.9,835.7,835.6,824.3
HHOCVRP,A-n37-k5,669,697.1,4.2003,0.46,1483.65,1369.25,1225.15,1137.85,1045.35,1002.8,921.6,839.55,837.3,833.5,825.15,819.25,783.7,779.7,778.8,777.9,770.4,768.15,766.8,765.2,762.65,758.25,758.0,756.95,756.25,753.45,750.65,750.1,749.8,746.0,746.0,744.8,743.45,743.45,743.2,742.6,741.9,741.0,739.35,738.35,735.0,733.9,732.95,732.95,732.5,731.95,731.95,731.95,731.95,731.85,731.3,731.05,731.05,731.05,731.05,729.9,729.0,728.9,728.9,728.9,728.9,728.9,728.9,728.9,728.2,728.15,728.15,728.15,728.15,728.15,728.15,728.15,728.15,728.15,728.15,728.15,728.15,728.15,727.75,727.45,727.45,726.75,726.75,726.75,726.75,726.35,726.35,725.25,725.25,725.25,725.25,724.4,724.0,724.0,724.0,723.75,722.05,722.05,722.05,721.9,721.5,721.5,720.75,720.75,720.75,720.75,720.75,720.5,720.35,719.45,719.0,718.85,718.85,718.85,718.5,718.35,718.1,718.1,717.95,717.45,716.0,716.0,716.0,716.0,716.0,716.0,715.6,715.6,715.6,715.0,715.0,714.9,714.9,714.8,714.8,714.8,714.8,714.2,714.0,713.25,713.25,713.25,713.25,713.05,713.05,713.05,713.05,713.05,713.05,713.05,712.9,712.9,712.9,712.9,712.9,712.25,712.25,712.25,712.0,712.0,711.8,711.8,710.95,710.65,710.65,710.65,710.65,710.65,710.65,710.65,710.65,710.65,710.65,709.75,709.75,709.75,709.5,709.5,709.5,709.5,709.5,709.5,709.5,708.9,708.9,708.55,707.85,707.85,707.85,707.85,707.85,707.2,706.55,706.55,706.55,706.5,706.5,706.5,705.65,697.1
HHOCVRP,A-n37-k6,949,993.9,4.7313,0.46,1732.3,1567.0,1306.5,1290.1,1175.45,1174.55,1174.15,1169.05,1169.05,1164.7,1124.0,1121.6,1091.35,1090.55,1088.8,1082.4,1082.4,1081.5,1081.05,1080.9,1076.6,1072.5,1072.5,1072.5,1072.5,1072.5,1070.9,1068.5,1068.15,1067.65,1066.55,1066.4,1064.95,1064.95,1064.95,1064.4,1062.2,1062.2,1062.2,1062.2,1061.65,1061.65,1060.4,1060.2,1060.2,1058.65,1058.65,1058.65,1058.65,1057.15,1057.15,1055.95,1051.35,1051.35,1051.35,1051.3,1051.15,1051.15,1048.8,1048.2,1046.85,1045.65,1045.65,1045.3,1045.3,1044.55,1044.25,1041.15,1040.1,1039.7,1039.7,1039.7,1039.7,1036.6,1035.65,1035.65,1035.65,1035.65,1035.65,1035.65,1035.65,1035.65,1035.65,1035.45,1034.65,1034.65,1032.25,1032.25,1032.25,1031.9,1031.85,1031.6,1030.85,1030.6,1030.6,1030.6,1028.5,1028.5,1028.5,1028.3,1028.3,1027.2,1027.2,1027.2,1027.2,1027.0,1024.5,1024.5,1024.05,1022.35,1021.95,1021.9,1021.45,1021.45,1021.45,1021.45,1021.35,1021.35,1021.35,1021.3,1020.95,1020.95,1020.9,1020.7,1020.7,1020.7,1020.7,1020.1,1020.0,1019.75,1019.75,1019.75,1018.8,1018.8,1018.8,1018.8,1018.8,1018.7,1018.7,1018.7,1018.7,1018.65,1018.5,1018.25,1017.15,1017.15,1016.95,1016.95,1016.95,1016.8,1016.8,1016.8,1016.8,1015.35,1015.0,1015.0,1014.4,1014.25,1013.7,1013.7,1013.7,1013.7,1013.3,1013.15,1013.15,1013.15,1012.95,1011.7,1010.85,1010.8,1009.1,1009.1,1009.1,1009.1,1009.1,1009.05,1009.05,1008.85,1008.6,1008.6,1008.6,1008.6,1008.6,1008.6,1008.6,1008.6,1008.6,1008.6,1007.4,1007.3,1007.3,1007.3,1006.7,1006.55,1006.55,1006.55,1006.55,1006.5,1005.55,993.9
HHOCVRP,A-n38-k5,730,745.25,2.089,0.48,1678.45,1522.5,1404.75,1296.4,1071.4,1021.15,975.45,964.7,916.15,912.0,868.3,864.35,822.6,819.9,816.0,816.0,815.8,814.95,814.95,814.95,814.95,814.95,813.55,813.55,809.95,809.95,808.65,808.65,806.65,806.65,803.85,800.3,800.3,799.35,799.35,795.1,795.1,794.3,794.15,794.15,792.95,792.95,791.6,791.6,790.6,790.55,789.65,788.5,788.5,788.5,788.5,788.5,788.2,788.2,788.05,787.25,786.75,786.75,786.75,786.75,785.75,785.75,785.65,785.65,784.9,782.5,781.95,781.75,781.75,780.4,779.9,779.5,779.25,779.25,777.7,776.9,776.9,775.9,775.45,772.55,772.55,772.55,772.25,772.25,772.25,772.25,772.25,772.25,771.75,771.55,771.05,771.05,770.15,770.1,769.6,769.3,768.55,768.55,767.65,767.65,766.5,766.5,766.5,766.5,766.5,765.25,765.25,763.75,763.75,763.75,762.1,761.1,760.6,760.6,760.45,760.45,760.45,760.45,760.4,760.4,760.4,760.0,760.0,759.25,759.2,759.15,759.15,759.15,758.7,758.7,758.7,758.7,758.3,758.3,758.3,758.3,758.3,758.3,758.3,758.25,758.25,757.75,757.75,757.4,757.4,756.55,756.55,756.15,756.15,756.15,756.15,756.05,756.05,756.05,756.05,756.05,756.05,756.05,755.9,755.9,755.8,755.8,755.8,755.8,755.8,755.8,755.8,755.8,755.75,755.75,755.75,755.75,755.75,755.7,755.7,755.7,755.7,755.7,755.7,754.7,754.7,754.7,754.5,754.3,753.9,753.85,753.85,753.85,753.65,753.65,753.55,753.55,753.55,753.55,753.55,753.55,753.55,753.35,753.25,745.25
HHOCVRP,A-n39-k5,822,856.5,4.1971,0.48,1624.25,1473.5,1390.6,1300.65,1255.95,1213.1,1164.65,1089.35,1039.25,1039.25,1027.35,985.3,981.75,977.8,939.95,938.8,938.55,938.1,936.1,933.2,929.65,927.65,926.55,925.5,924.95,922.4,922.05,922.0,922.0,921.25,920.2,920.15,919.45,918.8,917.65,915.8,915.8,915.8,914.4,913.0,913.0,913.0,910.8,910.8,910.45,910.45,910.45,910.2,909.65,909.65,909.65,908.7,908.0,908.0,906.75,905.4,905.4,905.15,904.2,904.2,902.25,902.25,901.2,899.1,899.1,899.1,899.1,899.1,897.4,897.4,897.4,896.75,896.75,896.75,896.4,896.4,894.8,894.55,893.55,893.55,893.55,893.35,893.35,893.35,892.55,892.55,892.55,892.55,892.55,892.55,891.9,891.9,891.75,891.75,891.75,891.55,890.85,890.85,890.85,890.6,889.45,889.45,889.45,889.45,889.45,887.55,886.95,886.7,886.7,886.7,886.0,886.0,886.0,886.0,886.0,885.3,885.3,884.85,884.85,884.85,884.75,884.6,884.1,883.45,883.45,883.45,883.15,882.25,882.25,882.25,882.25,881.6,881.6,881.6,881.25,881.25,881.25,881.25,881.25,881.25,881.15,881.15,881.15,880.85,880.2,880.15,879.45,878.95,878.95,878.95,878.95,878.95,878.95,878.95,878.95,878.75,878.75,878.15,878.15,878.15,878.15,878.15,878.15,878.05,877.75,877.15,877.15,877.15,877.15,877.1,877.1,877.05,877.05,877.05,877.0,877.0,877.0,877.0,876.3,876.15,875.85,875.85,875.15,875.15,875.15,875.05,874.8,874.2,873.75,873.75,873.75,873.3,873.3,873.3,872.95,872.95,872.95,872.95,872.95,856.5
HHOCVRP,A-n39-k6,831,868.3,4.4886,0.49,1925.65,1618.65,1560.5,1406.65,1308.15,1194.65,1056.0,1004.3,1003.0,1001.8,999.15,992.5,985.6,943.9,935.95,934.75,934.75,933.75,932.75,932.75,932.4,930.5,923.4,923.4,921.8,921.8,919.35,919.35,919.35,918.9,918.65,918.65,916.7,916.7,916.5,916.5,916.1,915.95,915.95,913.85,913.85,913.05,913.05,912.7,909.95,909.95,909.35,908.45,908.45,908.45,908.45,908.45,908.45,908.45,908.45,907.5,907.5,907.35,907.35,907.35,907.35,907.35,906.95,903.65,903.45,902.65,901.15,900.6,900.25,898.6,898.6,898.25,898.25,898.25,897.55,897.1,895.65,895.45,895.4,895.4,894.4,894.15,894.15,893.6,893.0,893.0,893.0,892.8,892.65,892.55,892.55,892.5,892.0,892.0,890.7,890.7,890.7,890.7,890.7,890.65,890.05,889.3,888.8,888.8,887.3,887.15,887.15,887.15,887.15,885.6,885.45,885.45,885.4,884.95,884.8,884.8,882.8,882.8,881.7,881.7,881.7,881.7,881.15,881.15,881.15,881.15,880.5,880.5,880.2,880.2,880.2,880.2,880.2,879.15,878.8,878.8,878.8,878.8,878.8,878.8,878.75,878.75,878.75,878.75,878.75,878.75,878.75,878.75,878.75,878.35,878.35,878.35,878.35,878.35,878.35,878.35,878.3,878.3,878.3,878.3,878.3,878.3,878.15,878.15,878.15,878.15,877.95,877.95,877.25,877.25,877.25,877.25,877.25,877.25,877.25,877.25,877.25,877.25,876.65,876.65,876.65,876.45,876.4,875.6,875.6,875.55,875.55,875.55,875.5,875.5,875.5,875.5,875.5,875.25,875.25,875.25,875.25,875.0,875.0,868.3
